"id","con_id","symbol","market","exchange","primary_exchange","currency","country","sector","industry","sub_industry","long_name","is_active","updated_at"
258,180350774,IRM,US,SMART,NYSE,USD,,Financial,REITS,REITS-Storage,IRON MOUNTAIN INC,true,2026-06-13 22:32:43.945
259,9063285,ISRG,US,SMART,NASDAQ,USD,,"Consumer, Non-cyclical",Healthcare-Products,Medical Instruments,INTUITIVE SURGICAL INC,true,2026-06-13 22:32:43.945
260,4457287,IT,US,SMART,NYSE,USD,,Technology,Computers,Computer Services,GARTNER INC,true,2026-06-13 22:32:43.945
261,8620,ITW,US,SMART,NYSE,USD,,Industrial,Miscellaneous Manufactur,Diversified Manufact Op,ILLINOIS TOOL WORKS,true,2026-06-13 22:32:43.945
262,47550606,IVZ,US,SMART,NYSE,USD,,Financial,Diversified Finan Serv,Invest Mgmnt/Advis Serv,INVESCO LTD,true,2026-06-13 22:32:43.945
263,582332987,J,US,SMART,NYSE,USD,,Industrial,Engineering&Construction,Engineering/R&D Services,JACOBS SOLUTIONS INC,true,2026-06-13 22:32:43.945
264,270825,JBHT,US,SMART,NASDAQ,USD,,Industrial,Transportation,Transport-Truck,HUNT (JB) TRANSPRT SVCS INC,true,2026-06-13 22:32:43.945
265,4457282,JBL,US,SMART,NYSE,USD,,Industrial,Electronics,Electronic Compo-Misc,JABIL INC,true,2026-06-13 22:32:43.945
266,244164913,JCI,US,SMART,NYSE,USD,,Industrial,Building Materials,Bldg Prod-Air&Heating,JOHNSON CONTROLS INTERNATION,true,2026-06-13 22:32:43.945
267,270869,JKHY,US,SMART,NASDAQ,USD,,Technology,Software,Data Processing/Mgmt,JACK HENRY & ASSOCIATES INC,true,2026-06-13 22:32:43.945
268,8719,JNJ,US,SMART,NYSE,USD,,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Drugs,JOHNSON & JOHNSON,true,2026-06-13 22:32:43.945
269,1520593,JPM,US,SMART,NYSE,USD,,Financial,Banks,Diversified Banking Inst,JPMORGAN CHASE & CO,true,2026-06-13 22:32:43.945
270,324057162,KDP,US,SMART,NASDAQ,USD,,"Consumer, Non-cyclical",Beverages,Beverages-Non-alcoholic,KEURIG DR PEPPER INC,true,2026-06-13 22:32:43.945
271,8809,KEY,US,SMART,NYSE,USD,,Financial,Banks,Super-Regional Banks-US,KEYCORP,true,2026-06-13 22:32:43.945
272,170167160,KEYS,US,SMART,NYSE,USD,,Industrial,Electronics,Electronic Measur Instr,KEYSIGHT TECHNOLOGIES IN,true,2026-06-13 22:32:43.945
273,199169586,KHC,US,SMART,NASDAQ,USD,,"Consumer, Non-cyclical",Food,Food-Misc/Diversified,KRAFT HEINZ CO/THE,true,2026-06-13 22:32:43.945
274,8845,KIM,US,SMART,NYSE,USD,,Financial,REITS,REITS-Shopping Centers,KIMCO REALTY CORP,true,2026-06-13 22:32:43.945
275,321328198,KKR,US,SMART,NYSE,USD,,Financial,Private Equity,Private Equity,KKR & CO INC,true,2026-06-13 22:32:43.945
276,270957,KLAC,US,SMART,NASDAQ,USD,,Technology,Semiconductors,Semiconductor Equipment,KLA CORP,true,2026-06-13 22:32:43.945
277,8864,KMB,US,SMART,NASDAQ,USD,,"Consumer, Non-cyclical",Household Products/Wares,Consumer Products-Misc,KIMBERLY-CLARK CORP,true,2026-06-13 22:32:43.945
278,83975037,KMI,US,SMART,NYSE,USD,,Energy,Pipelines,Pipelines,KINDER MORGAN INC,true,2026-06-13 22:32:43.945
279,8894,KO,US,SMART,NYSE,USD,,"Consumer, Non-cyclical",Beverages,Beverages-Non-alcoholic,COCA-COLA CO/THE,true,2026-06-13 22:32:43.945
280,8908,KR,US,SMART,NYSE,USD,,"Consumer, Non-cyclical",Food,Food-Retail,KROGER CO,true,2026-06-13 22:32:43.945
281,629043863,KVUE,US,SMART,NYSE,USD,,"Consumer, Non-cyclical",Cosmetics/Personal Care,Cosmetics&Toiletries,KENVUE INC,true,2026-06-13 22:32:43.945
282,9252,L,US,SMART,NYSE,USD,,Financial,Insurance,Multi-line Insurance,LOEWS CORP,true,2026-06-13 22:32:43.945
283,134280621,LDOS,US,SMART,NYSE,USD,,Technology,Computers,Computer Services,LEIDOS HOLDINGS INC,true,2026-06-13 22:32:43.945
284,9091,LEN,US,SMART,NYSE,USD,,"Consumer, Cyclical",Home Builders,Bldg-Residential/Commer,LENNAR CORP-A,true,2026-06-13 22:32:43.945
285,703660032,LH,US,SMART,NYSE,USD,,"Consumer, Non-cyclical",Healthcare-Services,Medical Labs&Testing Srv,LABCORP HOLDINGS INC,true,2026-06-13 22:32:43.945
